"","conference","hoopr","FGM_off","FGA_off","3PTM_off","3PTA_off","FTM_off","FTA_off","OREB_off","DREB_off","REB_off","AST_off","STL_off","BLK_off","TO_off","PF_off","PTS_off","result_off","FGM_def","FGA_def","3PTM_def","3PTA_def","FTM_def","FTA_def","OREB_def","DREB_def","REB_def","AST_def","STL_def","BLK_def","TO_def","PF_def","PTS_def","result_def","year","Team","Conference","power_conf"
"105","SWAC","Grambling",-0.022665126647158,0.00293551400428363,-0.0235955394607147,-0.0643533766724547,-0.00607524330328017,-0.0143880125269113,-0.00479009226664066,-0.002373739567222,-0.00716383183386267,-0.0310518040364286,-0.0107843399458305,-0.00258841978684748,-0.00139488075908335,0.0210564289777573,-0.0750010360583108,0.466666666666667,0.00608316085209413,0.0106248866392901,-0.0151341830892556,-0.0197431248501228,-0.0422224509573308,-0.0664597118280251,-0.0138572624498779,-0.0360535138702817,-0.0499107763201596,-0.0082781192934351,0.00698090542819468,-0.0181730974120978,0.00476012411516306,0.0208760550760016,-0.0451903123423982,0.466666666666667,"2021-22","Grambling","SWAC",FALSE
"106","WAC","Grand Canyon",0.0173806446893298,0.0522189523246116,0.0154446160945044,0.031683767923966,-0.0190016742803486,-0.0111418947993995,0.0474941929514696,0.0390924749419843,0.0865866678934538,-0.00364967832367748,-0.00215997510111975,-0.0140122497767315,0.000177674338593786,0.0075671094673153,0.031170039137408,0.535714285714286,0.0278279956234368,-0.0180881759995542,0.0303710132947464,0.0369622315253313,-0.00648034527190667,-0.0104087764299294,-0.0102505493168373,0.0103596549754601,0.000109105658622819,0.0503702114015777,0.00849950020974401,-0.00405551565179472,0.0124174883118857,-0.00306907292746598,0.0795798701214257,0.535714285714286,"2021-22","Grand Canyon","WAC",FALSE
"107","Horizon","Green Bay",-0.0354413188360844,-0.024407100397137,-0.0315795187487574,-0.0395855529486796,0.00254949758765894,0.0108535617771146,-0.0082753970758274,-0.038459733977076,-0.0467351310529034,-0.032941586803243,-0.0205263003468677,-0.0014909570505658,0.0113561361393791,0.00509572609547624,-0.0999126588332672,0.551724137931034,-0.0180840915254321,0.0118630086085748,0.0120448149776133,0.042008707643327,-0.0249369412611666,-0.0204667933913378,0.00871271753467377,-0.018142182694724,-0.00942946516005022,0.00507019037020971,-0.0109835105004013,-0.00543024502115709,0.0058550980182876,-0.0243918591976707,-0.0490603093344176,0.551724137931034,"2021-22","Green Bay","Horizon",FALSE
"108","Big South","Hampton",-0.0443247468261559,-0.0289542032761191,-0.0280723356460861,-0.0555777322543966,0.0154891411342864,0.0265694808012558,-0.0269445632593672,-0.00385607356350908,-0.0308006368228763,-0.0421947982430948,-0.0320077867334632,0.00364253669786969,-0.00968093153580062,0.0106677538603626,-0.101232688164112,0.423076923076923,-0.00617029856983868,-0.0248515051159839,0.00761535807064048,0.00829131666688586,-0.0275692744247785,-0.0522480988750321,-0.0156949393253873,-0.039836090161908,-0.0555310294872953,0.0268104896335614,0.00324125982086271,-0.0101562929160085,0.0321457292956107,-0.0156308304645788,-0.0322945134938154,0.423076923076923,"2021-22","Hampton","Big South",FALSE
"109","Am. East","Hartford",-0.00643050985476017,-0.022068575225074,0.0279374972722894,0.0539539787035576,-0.00940076019244899,-0.0100504782577607,-0.0248220768397387,-0.0124797692155519,-0.0373018460552906,-0.00535021911869884,-0.000576808243631368,-0.00149935100637226,0.00166870881875,-0.0140562142989878,0.00559883592765516,0.46875,-0.0150175495737497,-0.0122040062849711,-0.00898701260214222,-0.00874274105898865,-0.0151551954947494,-0.0139696819595742,-0.00818588256132772,-0.000109774150850651,-0.00829565671217836,-0.00180667812042203,-0.00471312375203937,-0.00186320259057181,0.0101647837858561,0.0187310895897177,-0.0551112478785959,0.46875,"2021-22","Hartford","Am. East",FALSE
"110","Ivy","Harvard",-0.00952281888259041,0.0179449437838483,0.0105196317835722,0.0466189160933273,-0.0346264392585914,-0.0371171626358171,-0.00435139701191045,-0.016417044194951,-0.0207684412068614,-0.0253216333003488,0.00550454985855165,-0.012202304022571,-0.00596478923599919,-0.0043320946400895,-0.0431524452402,0.434782608695652,0.0211053481492814,0.054944061442939,-0.000634723905655683,0.0185405472828739,-0.0165870219791101,-0.0146747321985066,0.0244189652632074,-0.0337590975067437,-0.00934013224353635,0.00910999171890465,0.00356540837969244,-0.000950758557872097,-0.0240682140123887,0.00520604694642171,0.0250317027401649,0.434782608695652,"2021-22","Harvard","Ivy",FALSE
"111","Big West","Hawai'i",-0.00715339476473725,-0.0101318032719875,0.0175162148404288,0.0433403663586117,0.00609302522592914,0.0056345384598658,0.00514324021119449,0.0188790072441283,0.0240222474553228,-0.00402620462780004,-0.0335030119937261,-0.00959468758653672,0.0127958465608411,0.00414875974338454,0.00930245053688347,0.461538461538462,0.00407148656314894,-0.0200384172894969,0.0152300413753957,0.0303212951522249,-0.00495526342301945,-0.00443684860142641,0.00599596944526268,0.0231995864146958,0.0291955558599585,0.042302145571943,-0.00329383558034315,-0.00249741778587137,0.0279866001193872,-0.0212548202950846,0.0184177510786741,0.461538461538462,"2021-22","Hawai'i","Big West",FALSE
"112","Big South","High Point",-0.00859050605578468,-0.00483755452689712,-0.0170906130502694,-0.0290816229866265,-0.0259028933369319,-0.0137441111608961,-0.00696570554818429,-0.00714682119121161,-0.0141125267393959,-0.00581410272919662,-0.0047649319022723,0.0187313344363075,0.00391925788950707,-0.00172740161521608,-0.0602070770471803,0.586206896551724,-0.00693013796795313,-0.00217022378893284,0.0137385532534686,0.0113977641363593,-0.0122933962335999,-0.0335421184723508,-0.0115730777895708,-0.0146119109957944,-0.0261849887853651,-0.0133805747661493,0.00579054230179908,-0.00111372302714186,0.00535567812719642,0.00714076616862339,-0.0124151189160375,0.586206896551724,"2021-22","High Point","Big South",FALSE
"113","CAA","Hofstra",0.0315357642379117,0.0395311608909984,0.0251165025253369,0.0750422768919728,-0.0330845171560744,-0.0646579187785936,-0.0253267254597369,-0.0151615963227253,-0.0404883217824622,0.0293450374142213,0.0119461605167478,-0.0113992152503495,-0.0364084020881541,-0.0288663668085105,0.0551035138450858,0.566666666666667,-0.00670117264349021,0.0228729447269873,-0.0231031373498087,-0.0238685069059341,0.0257872564702467,0.0382310036642681,0.0186545940439837,-0.0156481225055124,0.00300647153847129,-0.0330399708688805,0.0229352595763238,0.00349190917583662,-0.0210399922952815,0.0247343728819325,-0.0107182261665424,0.566666666666667,"2021-22","Hofstra","CAA",FALSE
"114","Patriot","Holy Cross",-0.0350452189393438,0.00332426306048281,-0.0248392411858225,-0.0564852511350837,0.00119443098850704,0.00262641454041906,0.0118961702915598,-0.0277643091293509,-0.0158681388377911,-0.0500366771417306,-0.0168842492998365,0.00577576074508651,0.00741628483329264,0.0232868237538117,-0.0937791803289544,0.357142857142857,-0.0304465372137602,-0.00701369436350098,0.00938895125518005,0.0404588633147778,-0.0183254959574369,-0.0310733602091298,-0.00676429704127589,-0.0292092488025184,-0.0359735458437943,-0.0122577601699882,0.00245930407945141,-0.0067737403949282,0.0139216758142422,-0.0133605082820051,-0.0697889700451947,0.357142857142857,"2021-22","Holy Cross","Patriot",FALSE
