,date,away_team,away_odds_ml,home_team,home_odds_ml,year,exp_win_away,exp_win_home,exp_value_away,exp_value_home,result,bet,return,expected_return,prediction_correct,exp_win_away_recent,exp_win_home_recent,exp_value_away_recent,exp_value_home_recent,bet_recent,return_recent,expected_return_recent,exp_win_away_nn,exp_win_home_nn,exp_value_away_nn,exp_value_home_nn,bet_nn,return_nn,expected_return_nn,game_time,N,home_point_spread,home_odds_spread,away_point_spread,away_odds_spread
65,01-25-2022,Arizona,-165,UCLA,145,2021-22,0.7043983821372313,0.2945302770328369,0.1313,-0.2784,2,13.13,-13.13,1.723969,0.0,,,,,,,,,,,,,,,,,,,,
66,01-26-2022,Florida,370,Tennessee,-500,2021-22,0.13505198243161565,0.8615155716248124,-0.3653,0.0338,2,3.38,0.6759999999999999,0.1142,1.0,,,,,,,,,,,,,,,,,,,,
67,01-26-2022,Northwestern,270,Michigan,-330,2021-22,0.3135348711727182,0.6957416226238591,0.1601,-0.0934,2,16.01,-16.01,2.5632,1.0,,,,,,,,,,,,,,,,,,,,
68,01-26-2022,Providence,300,Xavier,-360,2021-22,0.16679698140101756,0.8322772464940777,-0.3328,0.0635,1,6.35,-6.35,0.4032,0.0,,,,,,,,,,,,,,,,,,,,
69,01-26-2022,Creighton,-150,Butler,130,2021-22,0.5522886966470003,0.4663995997606199,-0.0795,0.0727,2,7.27,9.451,0.5285,0.0,,,,,,,,,,,,,,,,,,,,
70,01-26-2022,UNC Greensboro,135,East Tennessee State,-155,2021-22,0.4088989665362143,0.581396535166447,-0.0391,-0.0435,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
71,01-26-2022,VMI,320,Furman,-430,2021-22,0.2514004759666879,0.7448984136602007,0.0559,-0.0819,2,5.59,-5.59,0.3125,1.0,,,,,,,,,,,,,,,,,,,,
72,01-26-2022,Boston College,700,North Carolina,-1100,2021-22,0.07322432257151645,0.9250489827513388,-0.4142,0.0091,2,0.91,0.0827,0.0083,1.0,,,,,,,,,,,,,,,,,,,,
73,01-26-2022,Duquesne,135,Saint Joseph's,-155,2021-22,0.3019825536951393,0.7035238847432234,-0.2903,0.1574,2,15.74,10.1548,2.4775,1.0,,,,,,,,,,,,,,,,,,,,
74,01-26-2022,Western Carolina,220,The Citadel,-260,2021-22,0.19414581820302687,0.8162787356324529,-0.3787,0.1302,2,13.02,5.0077,1.6952,1.0,,,,,,,,,,,,,,,,,,,,
75,01-26-2022,Wofford,190,Chattanooga,-220,2021-22,0.1065650509643728,0.8958078870159907,-0.691,0.303,2,30.3,13.7727,9.1809,1.0,,,,,,,,,,,,,,,,,,,,
76,01-26-2022,St. Bonaventure,-145,George Mason,125,2021-22,0.35657471080107256,0.654756318738692,-0.3975,0.4732,2,47.32,59.15,22.3918,1.0,,,,,,,,,,,,,,,,,,,,
77,01-26-2022,Massachusetts,120,La Salle,-140,2021-22,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
78,01-26-2022,SMU,-360,South Florida,300,2021-22,0.8227651561366873,0.1816318076694025,0.0513,-0.2735,1,5.13,1.425,0.2632,1.0,,,,,,,,,,,,,,,,,,,,
79,01-26-2022,Northern Iowa,-450,Evansville,370,2021-22,0.8068883095369521,0.20272083099591254,-0.0138,-0.0472,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
80,01-26-2022,Vanderbilt,110,South Carolina,-130,2021-22,0.462835578425531,0.5367987966322879,-0.027999999999999997,-0.0503,2,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
81,01-26-2022,Arkansas,-180,Ole Miss,160,2021-22,0.4510721235017955,0.5533747465640001,-0.2983,0.4388,1,43.88,-43.88,19.2545,0.0,,,,,,,,,,,,,,,,,,,,
82,01-26-2022,Miami,190,Virginia Tech,-220,2021-22,0.15328115780258167,0.8523382773763745,-0.5555,0.2398,1,23.98,-23.98,5.7504,0.0,,,,,,,,,,,,,,,,,,,,
83,01-26-2022,Bradley,-130,Valparaiso,110,2021-22,0.5349416878540874,0.4641202163183921,-0.0536,-0.0253,1,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,
84,01-26-2022,Oklahoma,110,West Virginia,-130,2021-22,0.3196310223095764,0.6828718574138308,-0.3288,0.2082,1,20.82,-20.82,4.3347,0.0,,,,,,,,,,,,,,,,,,,,
85,01-26-2022,Abilene Christian,-300,UT Rio Grande Valley,250,2021-22,0.9020755210331868,0.10273514477069452,0.2028,-0.6404,1,20.28,6.76,4.1128,1.0,,,,,,,,,,,,,,,,,,,,
86,01-26-2022,Drake,-175,Illinois State,155,2021-22,0.5866114325615791,0.4046009578243715,-0.0782,0.0317,1,3.17,-3.17,0.1005,1.0,,,,,,,,,,,,,,,,,,,,
87,01-26-2022,Iowa State,145,Oklahoma State,-165,2021-22,0.35135596399523783,0.6420704564992795,-0.1392,0.0312,1,3.12,-3.12,0.0973,0.0,,,,,,,,,,,,,,,,,,,,
88,01-26-2022,George Washington,1200,Saint Louis,-3000,2021-22,0.02699257215276585,0.9727410627267764,-0.6491,0.0052,2,0.52,0.0173,0.0027,1.0,,,,,,,,,,,,,,,,,,,,
89,01-26-2022,UCF,160,Wichita State,-180,2021-22,0.3889066144317187,0.6150668610761337,0.0112,-0.0432,2,1.12,-1.12,0.0125,1.0,,,,,,,,,,,,,,,,,,,,
90,01-26-2022,Mercer,100,Samford,-120,2021-22,0.2933373205763217,0.7057856046483001,-0.4133,0.2939,2,29.39,24.4917,8.6377,1.0,,,,,,,,,,,,,,,,,,,,
91,01-26-2022,Marquette,190,Seton Hall,-220,2021-22,0.19275433992319896,0.8044331350535082,-0.441,0.1701,1,17.01,-17.01,2.8934,0.0,,,,,,,,,,,,,,,,,,,,
92,01-26-2022,VCU,145,Davidson,-165,2021-22,0.4074038302240155,0.6003416285281804,-0.0019,-0.0358,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
93,01-26-2022,Penn State,320,Indiana,-380,2021-22,0.2529069920417489,0.7477046385302987,0.0622,-0.0555,2,6.22,-6.22,0.3869,1.0,,,,,,,,,,,,,,,,,,,,
94,01-26-2022,Tulsa,140,Tulane,-160,2021-22,0.2493550672344166,0.7554441414403752,-0.4015,0.2276,2,22.76,14.225,5.1802,1.0,,,,,,,,,,,,,,,,,,,,
95,01-26-2022,Florida State,-220,Georgia Tech,190,2021-22,0.626613385641916,0.379241608021166,-0.0886,0.0998,2,9.98,18.962,0.996,0.0,,,,,,,,,,,,,,,,,,,,
96,01-26-2022,NC State,180,Notre Dame,-210,2021-22,0.22207568604664515,0.7778927664946373,-0.3782,0.1483,2,14.83,7.0619,2.1993,1.0,,,,,,,,,,,,,,,,,,,,
97,01-26-2022,Texas A&M,425,Louisiana State,-550,2021-22,0.0,0.0,-1.0,-1.0,2,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
98,01-26-2022,Utah,260,Washington State,-320,2021-22,0.11571825106611168,0.8820786336847178,-0.5834,0.1577,2,15.77,4.9281,2.4869,1.0,,,,,,,,,,,,,,,,,,,,
99,01-26-2022,Sam Houston State,-115,Cal Baptist,-105,2021-22,0.0,0.0,-1.0,-1.0,1,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
100,01-26-2022,Stephen F. Austin,125,Seattle U,-145,2021-22,0.5806896854718256,0.4317096339612732,0.3066,-0.2706,2,30.66,-30.66,9.4004,0.0,,,,,,,,,,,,,,,,,,,,
101,01-26-2022,San Diego State,-125,Utah State,105,2021-22,0.3956436702797715,0.6076710744468351,-0.2878,0.2457,2,24.57,25.7985,6.0368,1.0,,,,,,,,,,,,,,,,,,,,
102,01-26-2022,Old Dominion,130,Charlotte,-150,2021-22,0.2559957066736627,0.7447196035184023,-0.4112,0.2412,2,24.12,16.08,5.8177,1.0,,,,,,,,,,,,,,,,,,,,
103,01-26-2022,Winthrop,-300,South Carolina Upstate,240,2021-22,0.7763091496876546,0.2357809651471018,0.0351,-0.1983,1,3.51,1.17,0.1232,1.0,,,,,,,,,,,,,,,,,,,,
